"תחנה","תאריך ושעה (שעון קיץ)","לחות יחסית (%)","כיוון הרוח (מעלות)","מהירות רוח (מטר לשניה)"
"חיפה, אוניברסיטה","01/01/2018 00:00","97","204","9.6"
"חיפה, אוניברסיטה","01/01/2018 00:10","96","198","11.3"
"חיפה, אוניברסיטה","01/01/2018 00:20","97","217","6.9"
"חיפה, אוניברסיטה","01/01/2018 00:30","97","221","4.6"
"חיפה, אוניברסיטה","01/01/2018 00:40","98","229","4.5"
"חיפה, אוניברסיטה","01/01/2018 00:50","98","228","5.1"
"חיפה, אוניברסיטה","01/01/2018 01:00","98","228","5.9"
"חיפה, אוניברסיטה","01/01/2018 01:10","98","228","5.8"
"חיפה, אוניברסיטה","01/01/2018 01:20","98","229","6"
"חיפה, אוניברסיטה","01/01/2018 01:30","98","246","7"
"חיפה, אוניברסיטה","01/01/2018 01:40","98","238","6.1"
"חיפה, אוניברסיטה","01/01/2018 01:50","98","230","7"
"חיפה, אוניברסיטה","01/01/2018 02:00","96","230","7.2"
"חיפה, אוניברסיטה","01/01/2018 02:10","93","231","7.4"
"חיפה, אוניברסיטה","01/01/2018 02:20","90","232","7.6"
"חיפה, אוניברסיטה","01/01/2018 02:30","87","238","8.9"
"חיפה, אוניברסיטה","01/01/2018 02:40","86","235","9.5"
"חיפה, אוניברסיטה","01/01/2018 02:50","85","229","9.6"
"חיפה, אוניברסיטה","01/01/2018 03:00","82","231","10.7"
"חיפה, אוניברסיטה","01/01/2018 03:10","83","230","9.7"
"חיפה, אוניברסיטה","01/01/2018 03:20","89","229","7.6"
"חיפה, אוניברסיטה","01/01/2018 03:30","92","241","10.6"
"חיפה, אוניברסיטה","01/01/2018 03:40","92","243","12.6"
"חיפה, אוניברסיטה","01/01/2018 03:50","93","241","13.7"
"חיפה, אוניברסיטה","01/01/2018 04:00","94","235","13.4"
"חיפה, אוניברסיטה","01/01/2018 04:10","95","231","11.2"
"חיפה, אוניברסיטה","01/01/2018 04:20","96","231","9.2"
"חיפה, אוניברסיטה","01/01/2018 04:30","96","232","10.2"
"חיפה, אוניברסיטה","01/01/2018 04:40","97","228","9"
"חיפה, אוניברסיטה","01/01/2018 04:50","97","228","10.4"
"חיפה, אוניברסיטה","01/01/2018 05:00","97","228","9.2"
"חיפה, אוניברסיטה","01/01/2018 05:10","98","229","9.4"
"חיפה, אוניברסיטה","01/01/2018 05:20","98","234","8.6"
"חיפה, אוניברסיטה","01/01/2018 05:30","98","238","7"
"חיפה, אוניברסיטה","01/01/2018 05:40","98","234","6.4"
"חיפה, אוניברסיטה","01/01/2018 05:50","98","229","6.3"
"חיפה, אוניברסיטה","01/01/2018 06:00","98","225","5.1"
"חיפה, אוניברסיטה","01/01/2018 06:10","98","220","4.6"
"חיפה, אוניברסיטה","01/01/2018 06:20","98","207","8.8"
"חיפה, אוניברסיטה","01/01/2018 06:30","98","206","11.4"
"חיפה, אוניברסיטה","01/01/2018 06:40","98","209","11.9"
"חיפה, אוניברסיטה","01/01/2018 06:50","98","205","11.4"
"חיפה, אוניברסיטה","01/01/2018 07:00","97","206","10.7"
"חיפה, אוניברסיטה","01/01/2018 07:10","97","203","11.4"
"חיפה, אוניברסיטה","01/01/2018 07:20","97","205","12.3"
"חיפה, אוניברסיטה","01/01/2018 07:30","97","205","11.5"
"חיפה, אוניברסיטה","01/01/2018 07:40","97","207","11.4"
"חיפה, אוניברסיטה","01/01/2018 07:50","97","203","12.9"
"חיפה, אוניברסיטה","01/01/2018 08:00","97","204","13.2"
"חיפה, אוניברסיטה","01/01/2018 08:10","97","206","12.8"
"חיפה, אוניברסיטה","01/01/2018 08:20","96","205","13.1"
"חיפה, אוניברסיטה","01/01/2018 08:30","95","213","12.9"
"חיפה, אוניברסיטה","01/01/2018 08:40","95","208","12.6"
"חיפה, אוניברסיטה","01/01/2018 08:50","95","207","13.2"
"חיפה, אוניברסיטה","01/01/2018 09:00","96","205","14.4"
"חיפה, אוניברסיטה","01/01/2018 09:10","96","204","14.3"
"חיפה, אוניברסיטה","01/01/2018 09:20","96","205","14.4"
"חיפה, אוניברסיטה","01/01/2018 09:30","96","207","13.4"
"חיפה, אוניברסיטה","01/01/2018 09:40","96","212","13.9"
"חיפה, אוניברסיטה","01/01/2018 09:50","96","214","13.3"
"חיפה, אוניברסיטה","01/01/2018 10:00","97","215","12.6"
"חיפה, אוניברסיטה","01/01/2018 10:10","98","211","12.4"
"חיפה, אוניברסיטה","01/01/2018 10:20","98","212","11.6"
"חיפה, אוניברסיטה","01/01/2018 10:30","98","242","6.3"
"חיפה, אוניברסיטה","01/01/2018 10:40","98","228","5.8"
"חיפה, אוניברסיטה","01/01/2018 10:50","98","210","10.8"
"חיפה, אוניברסיטה","01/01/2018 11:00","99","211","11.5"
"חיפה, אוניברסיטה","01/01/2018 11:10","99","206","12.2"
"חיפה, אוניברסיטה","01/01/2018 11:20","99","204","13.3"
"חיפה, אוניברסיטה","01/01/2018 11:30","99","209","13.1"
"חיפה, אוניברסיטה","01/01/2018 11:40","99","211","12.7"
"חיפה, אוניברסיטה","01/01/2018 11:50","99","209","12.6"
"חיפה, אוניברסיטה","01/01/2018 12:00","99","204","12.8"
"חיפה, אוניברסיטה","01/01/2018 12:10","99","208","11.6"
"חיפה, אוניברסיטה","01/01/2018 12:20","99","205","11.2"
"חיפה, אוניברסיטה","01/01/2018 12:30","99","207","11.4"
"חיפה, אוניברסיטה","01/01/2018 12:40","99","207","10.3"
"חיפה, אוניברסיטה","01/01/2018 12:50","99","207","9.6"
"חיפה, אוניברסיטה","01/01/2018 13:00","99","205","8.6"
"חיפה, אוניברסיטה","01/01/2018 13:10","99","209","10.3"
"חיפה, אוניברסיטה","01/01/2018 13:20","99","208","10.4"
"חיפה, אוניברסיטה","01/01/2018 13:30","99","205","10.9"
"חיפה, אוניברסיטה","01/01/2018 13:40","99","208","10.8"
"חיפה, אוניברסיטה","01/01/2018 13:50","99","207","11"
"חיפה, אוניברסיטה","01/01/2018 14:00","99","204","11"
"חיפה, אוניברסיטה","01/01/2018 14:10","99","205","9.3"
"חיפה, אוניברסיטה","01/01/2018 14:20","99","208","9.4"
"חיפה, אוניברסיטה","01/01/2018 14:30","99","210","7.9"
"חיפה, אוניברסיטה","01/01/2018 14:40","99","200","8.8"
"חיפה, אוניברסיטה","01/01/2018 14:50","99","206","8.2"
"חיפה, אוניברסיטה","01/01/2018 15:00","99","210","8.3"
"חיפה, אוניברסיטה","01/01/2018 15:10","99","208","8.2"
"חיפה, אוניברסיטה","01/01/2018 15:20","99","208","8.9"
"חיפה, אוניברסיטה","01/01/2018 15:30","99","213","7.9"
"חיפה, אוניברסיטה","01/01/2018 15:40","99","212","7.6"
"חיפה, אוניברסיטה","01/01/2018 15:50","99","213","7.3"
"חיפה, אוניברסיטה","01/01/2018 16:00","99","213","7.9"
"חיפה, אוניברסיטה","01/01/2018 16:10","99","213","8"
"חיפה, אוניברסיטה","01/01/2018 16:20","99","214","7.8"
"חיפה, אוניברסיטה","01/01/2018 16:30","99","211","7.7"
"חיפה, אוניברסיטה","01/01/2018 16:40","99","217","6"
"חיפה, אוניברסיטה","01/01/2018 16:50","99","222","6.9"
"חיפה, אוניברסיטה","01/01/2018 17:00","99","225","6.2"
"חיפה, אוניברסיטה","01/01/2018 17:10","99","236","4.8"
"חיפה, אוניברסיטה","01/01/2018 17:20","99","236","4.8"
"חיפה, אוניברסיטה","01/01/2018 17:30","99","235","4.5"
"חיפה, אוניברסיטה","01/01/2018 17:40","99","221","4"
"חיפה, אוניברסיטה","01/01/2018 17:50","99","233","4.1"
"חיפה, אוניברסיטה","01/01/2018 18:00","99","236","4.2"
"חיפה, אוניברסיטה","01/01/2018 18:10","99","235","4"
"חיפה, אוניברסיטה","01/01/2018 18:20","99","232","3.9"
"חיפה, אוניברסיטה","01/01/2018 18:30","99","227","3.9"
"חיפה, אוניברסיטה","01/01/2018 18:40","99","247","3.6"
"חיפה, אוניברסיטה","01/01/2018 18:50","99","257","3.3"
"חיפה, אוניברסיטה","01/01/2018 19:00","99","264","3.7"
"חיפה, אוניברסיטה","01/01/2018 19:10","99","278","3.2"
"חיפה, אוניברסיטה","01/01/2018 19:20","99","282","3.3"
"חיפה, אוניברסיטה","01/01/2018 19:30","98","264","3.6"
"חיפה, אוניברסיטה","01/01/2018 19:40","97","251","3.8"
"חיפה, אוניברסיטה","01/01/2018 19:50","95","241","3.4"
"חיפה, אוניברסיטה","01/01/2018 20:00","94","241","2.9"
"חיפה, אוניברסיטה","01/01/2018 20:10","93","240","3.4"
"חיפה, אוניברסיטה","01/01/2018 20:20","92","241","3.4"
"חיפה, אוניברסיטה","01/01/2018 20:30","90","239","3.3"
"חיפה, אוניברסיטה","01/01/2018 20:40","89","242","3.6"
"חיפה, אוניברסיטה","01/01/2018 20:50","89","247","3.9"
"חיפה, אוניברסיטה","01/01/2018 21:00","88","257","3.8"
"חיפה, אוניברסיטה","01/01/2018 21:10","87","259","4"
"חיפה, אוניברסיטה","01/01/2018 21:20","86","254","4.2"
"חיפה, אוניברסיטה","01/01/2018 21:30","86","261","3.7"
"חיפה, אוניברסיטה","01/01/2018 21:40","84","263","3.9"
"חיפה, אוניברסיטה","01/01/2018 21:50","84","258","4.2"
"חיפה, אוניברסיטה","01/01/2018 22:00","83","260","4.6"
"חיפה, אוניברסיטה","01/01/2018 22:10","82","261","4.7"
"חיפה, אוניברסיטה","01/01/2018 22:20","82","254","5"
