"תחנה","תאריך ושעה (שעון קיץ)","לחות יחסית (%)","כיוון הרוח (מעלות)","מהירות רוח (מטר לשניה)"
"ירושלים, מרכז","01/01/2022 00:00","80","67","2.4"
"ירושלים, מרכז","01/01/2022 00:10","78","77","2.3"
"ירושלים, מרכז","01/01/2022 00:20","78","81","2.3"
"ירושלים, מרכז","01/01/2022 00:30","79","81","2"
"ירושלים, מרכז","01/01/2022 00:40","79","72","2.5"
"ירושלים, מרכז","01/01/2022 00:50","79","67","2.9"
"ירושלים, מרכז","01/01/2022 01:00","79","64","2.7"
"ירושלים, מרכז","01/01/2022 01:10","78","70","3.2"
"ירושלים, מרכז","01/01/2022 01:20","77","72","2.8"
"ירושלים, מרכז","01/01/2022 01:30","77","67","3.1"
"ירושלים, מרכז","01/01/2022 01:40","77","69","3.2"
"ירושלים, מרכז","01/01/2022 01:50","77","65","3.1"
"ירושלים, מרכז","01/01/2022 02:00","77","73","3.1"
"ירושלים, מרכז","01/01/2022 02:10","77","68","2.6"
"ירושלים, מרכז","01/01/2022 02:20","78","68","2.7"
"ירושלים, מרכז","01/01/2022 02:30","79","76","2.5"
"ירושלים, מרכז","01/01/2022 02:40","78","97","1.9"
"ירושלים, מרכז","01/01/2022 02:50","79","76","2.7"
"ירושלים, מרכז","01/01/2022 03:00","80","77","2.1"
"ירושלים, מרכז","01/01/2022 03:10","82","69","1.8"
"ירושלים, מרכז","01/01/2022 03:20","81","62","1.9"
"ירושלים, מרכז","01/01/2022 03:30","81","49","2.3"
"ירושלים, מרכז","01/01/2022 03:40","79","34","2.9"
"ירושלים, מרכז","01/01/2022 03:50","78","18","2.1"
"ירושלים, מרכז","01/01/2022 04:00","78","37","2.9"
"ירושלים, מרכז","01/01/2022 04:10","79","44","2.9"
"ירושלים, מרכז","01/01/2022 04:20","79","47","3.1"
"ירושלים, מרכז","01/01/2022 04:30","78","50","2.8"
"ירושלים, מרכז","01/01/2022 04:40","78","52","2.8"
"ירושלים, מרכז","01/01/2022 04:50","77","49","3"
"ירושלים, מרכז","01/01/2022 05:00","77","53","2.4"
"ירושלים, מרכז","01/01/2022 05:10","76","43","2.3"
"ירושלים, מרכז","01/01/2022 05:20","76","54","3.5"
"ירושלים, מרכז","01/01/2022 05:30","77","67","2.7"
"ירושלים, מרכז","01/01/2022 05:40","76","64","3.1"
"ירושלים, מרכז","01/01/2022 05:50","76","57","3"
"ירושלים, מרכז","01/01/2022 06:00","77","60","3.5"
"ירושלים, מרכז","01/01/2022 06:10","77","55","2.1"
"ירושלים, מרכז","01/01/2022 06:20","78","56","2.7"
"ירושלים, מרכז","01/01/2022 06:30","78","54","3.2"
"ירושלים, מרכז","01/01/2022 06:40","78","48","3"
"ירושלים, מרכז","01/01/2022 06:50","79","48","2.5"
"ירושלים, מרכז","01/01/2022 07:00","80","48","2.5"
"ירושלים, מרכז","01/01/2022 07:10","81","46","2.8"
"ירושלים, מרכז","01/01/2022 07:20","82","56","2.9"
"ירושלים, מרכז","01/01/2022 07:30","82","69","2.2"
"ירושלים, מרכז","01/01/2022 07:40","82","68","2.4"
"ירושלים, מרכז","01/01/2022 07:50","83","60","3"
"ירושלים, מרכז","01/01/2022 08:00","82","57","2.9"
"ירושלים, מרכז","01/01/2022 08:10","83","51","2.5"
"ירושלים, מרכז","01/01/2022 08:20","84","57","2.9"
"ירושלים, מרכז","01/01/2022 08:30","85","77","2.5"
"ירושלים, מרכז","01/01/2022 08:40","85","88","2.4"
"ירושלים, מרכז","01/01/2022 08:50","87","82","2.2"
"ירושלים, מרכז","01/01/2022 09:00","88","98","2.6"
"ירושלים, מרכז","01/01/2022 09:10","89","82","2.2"
