"תחנה","תאריך ושעה (שעון קיץ)","לחות יחסית (%)","כיוון הרוח (מעלות)","מהירות רוח (מטר לשניה)"
"נחשון","01/01/2021 00:00","87","173","1.6"
"נחשון","01/01/2021 00:10","88","169","1.5"
"נחשון","01/01/2021 00:20","87","162","1.5"
"נחשון","01/01/2021 00:30","88","176","1.1"
"נחשון","01/01/2021 00:40","87","160","1.1"
"נחשון","01/01/2021 00:50","86","178","1.1"
"נחשון","01/01/2021 01:00","87","160","2.5"
"נחשון","01/01/2021 01:10","88","135","3.6"
"נחשון","01/01/2021 01:20","87","133","3.8"
"נחשון","01/01/2021 01:30","87","136","3.5"
"נחשון","01/01/2021 01:40","86","139","2.9"
"נחשון","01/01/2021 01:50","87","140","2.4"
"נחשון","01/01/2021 02:00","88","139","2.2"
"נחשון","01/01/2021 02:10","88","140","2.5"
"נחשון","01/01/2021 02:20","88","123","2.4"
"נחשון","01/01/2021 02:30","88","130","2.9"
"נחשון","01/01/2021 02:40","88","143","2.2"
"נחשון","01/01/2021 02:50","88","172","1.7"
"נחשון","01/01/2021 03:00","88","142","3"
"נחשון","01/01/2021 03:10","89","139","3.4"
"נחשון","01/01/2021 03:20","87","130","3.2"
"נחשון","01/01/2021 03:30","88","156","2.3"
"נחשון","01/01/2021 03:40","86","173","1.1"
"נחשון","01/01/2021 03:50","86","193","0.7"
"נחשון","01/01/2021 04:00","87","183","1"
"נחשון","01/01/2021 04:10","88","162","1.3"
"נחשון","01/01/2021 04:20","88","158","1.1"
"נחשון","01/01/2021 04:30","89","137","1.7"
"נחשון","01/01/2021 04:40","90","158","1.4"
"נחשון","01/01/2021 04:50","90","156","1.8"
"נחשון","01/01/2021 05:00","90","156","1.8"
"נחשון","01/01/2021 05:10","90","184","1.3"
"נחשון","01/01/2021 05:20","90","167","2.6"
"נחשון","01/01/2021 05:30","92","129","3.5"
"נחשון","01/01/2021 05:40","92","150","2.3"
"נחשון","01/01/2021 05:50","92","132","2.9"
"נחשון","01/01/2021 06:00","92","144","2.9"
"נחשון","01/01/2021 06:10","92","145","2.8"
"נחשון","01/01/2021 06:20","92","127","3.1"
"נחשון","01/01/2021 06:30","93","129","3.1"
"נחשון","01/01/2021 06:40","93","135","3.1"
"נחשון","01/01/2021 06:50","92","166","1.8"
"נחשון","01/01/2021 07:00","90","157","1.2"
"נחשון","01/01/2021 07:10","90","169","1.4"
"נחשון","01/01/2021 07:20","91","159","1.6"
"נחשון","01/01/2021 07:30","89","145","1.5"
"נחשון","01/01/2021 07:40","90","149","0.8"
"נחשון","01/01/2021 07:50","90","160","1.6"
"נחשון","01/01/2021 08:00","92","130","2.6"
"נחשון","01/01/2021 08:10","93","151","2.1"
"נחשון","01/01/2021 08:20","90","161","1.5"
"נחשון","01/01/2021 08:30","87","148","1.3"
"נחשון","01/01/2021 08:40","86","177","1"
"נחשון","01/01/2021 08:50","84","158","0.8"
"נחשון","01/01/2021 09:00","83","162","0.5"
"נחשון","01/01/2021 09:10","80","177","0.1"
"נחשון","01/01/2021 09:20","77","164","0.1"
"נחשון","01/01/2021 09:30","81","38","0.7"
"נחשון","01/01/2021 09:40","78","59","0.1"
"נחשון","01/01/2021 09:50","73","321","0.3"
"נחשון","01/01/2021 10:00","70","342","0.1"
"נחשון","01/01/2021 10:10","68","4","0.5"
"נחשון","01/01/2021 10:20","68","344","0.6"
"נחשון","01/01/2021 10:30","67","298","0.7"
"נחשון","01/01/2021 10:40","65","223","0.6"
"נחשון","01/01/2021 10:50","64","261","0.3"
"נחשון","01/01/2021 11:00","65","337","0.5"
"נחשון","01/01/2021 11:10","65","27","1.2"
"נחשון","01/01/2021 11:20","66","9","1.7"
"נחשון","01/01/2021 11:30","67","356","1.6"
"נחשון","01/01/2021 11:40","65","7","1.7"
"נחשון","01/01/2021 11:50","65","329","2.1"
"נחשון","01/01/2021 12:00","64","319","1.8"
"נחשון","01/01/2021 12:10","64","341","1.8"
"נחשון","01/01/2021 12:20","63","338","1.9"
"נחשון","01/01/2021 12:30","63","346","2"
"נחשון","01/01/2021 12:40","62","339","1.7"
"נחשון","01/01/2021 12:50","63","358","2.1"
"נחשון","01/01/2021 13:00","62","337","2.3"
"נחשון","01/01/2021 13:10","62","344","2"
"נחשון","01/01/2021 13:20","61","19","1.5"
"נחשון","01/01/2021 13:30","61","358","1.8"
"נחשון","01/01/2021 13:40","61","359","1.8"
"נחשון","01/01/2021 13:50","60","315","1.6"
"נחשון","01/01/2021 14:00","59","335","1.4"
"נחשון","01/01/2021 14:10","59","309","1.6"
"נחשון","01/01/2021 14:20","58","350","2.1"
"נחשון","01/01/2021 14:30","58","2","2"
"נחשון","01/01/2021 14:40","53","81","1.6"
"נחשון","01/01/2021 14:50","51","47","1.8"
"נחשון","01/01/2021 15:00","51","53","1.7"
"נחשון","01/01/2021 15:10","53","7","2.5"
"נחשון","01/01/2021 15:20","56","345","2.8"
"נחשון","01/01/2021 15:30","56","327","2.4"
"נחשון","01/01/2021 15:40","58","321","2.6"
"נחשון","01/01/2021 15:50","60","333","3.1"
"נחשון","01/01/2021 16:00","62","326","2.7"
"נחשון","01/01/2021 16:10","63","319","2.9"
"נחשון","01/01/2021 16:20","68","316","3"
"נחשון","01/01/2021 16:30","68","329","2.3"
"נחשון","01/01/2021 16:40","74","333","2.7"
"נחשון","01/01/2021 16:50","78","333","2.6"
"נחשון","01/01/2021 17:00","81","331","2.8"
"נחשון","01/01/2021 17:10","82","338","2.3"
"נחשון","01/01/2021 17:20","84","342","2.5"
"נחשון","01/01/2021 17:30","86","352","2"
"נחשון","01/01/2021 17:40","87","348","1.2"
"נחשון","01/01/2021 17:50","86","234","0.7"
"נחשון","01/01/2021 18:00","86","205","1"
"נחשון","01/01/2021 18:10","87","258","0.6"
"נחשון","01/01/2021 18:20","87","247","0.4"
"נחשון","01/01/2021 18:30","87","305","0.4"
"נחשון","01/01/2021 18:40","88","312","0.2"
"נחשון","01/01/2021 18:50","88","162","0.3"
"נחשון","01/01/2021 19:00","90","155","1.2"
"נחשון","01/01/2021 19:10","90","176","1.1"
"נחשון","01/01/2021 19:20","90","189","1.1"
"נחשון","01/01/2021 19:30","91","139","2.3"
"נחשון","01/01/2021 19:40","91","160","1.9"
"נחשון","01/01/2021 19:50","91","136","2.6"
"נחשון","01/01/2021 20:00","92","137","3.4"
"נחשון","01/01/2021 20:10","93","133","3.3"
"נחשון","01/01/2021 20:20","93","138","3"
"נחשון","01/01/2021 20:30","93","135","3.4"
"נחשון","01/01/2021 20:40","94","132","3.5"
"נחשון","01/01/2021 20:50","93","138","3.2"
"נחשון","01/01/2021 21:00","93","133","3.4"
"נחשון","01/01/2021 21:10","94","131","3.5"
"נחשון","01/01/2021 21:20","94","131","3.2"
"נחשון","01/01/2021 21:30","95","131","3.3"
"נחשון","01/01/2021 21:40","95","132","3.3"
"נחשון","01/01/2021 21:50","95","134","3.2"
"נחשון","01/01/2021 22:00","95","133","3"
"נחשון","01/01/2021 22:10","94","156","2"
"נחשון","01/01/2021 22:20","94","175","1.3"
"נחשון","01/01/2021 22:30","93","155","1.6"
"נחשון","01/01/2021 22:40","92","155","1.4"
"נחשון","01/01/2021 22:50","89","143","0.7"
"נחשון","01/01/2021 23:00","88","156","0.4"
"נחשון","01/01/2021 23:10","87","198","0.4"
"נחשון","01/01/2021 23:20","87","235","0.2"
"נחשון","01/01/2021 23:30","86","280","0.2"
"נחשון","01/01/2021 23:40","83","59","0.5"
"נחשון","01/01/2021 23:50","83","62","0.9"
"נחשון","02/01/2021 00:00","81","96","0.5"
"נחשון","02/01/2021 00:10","80","67","1.1"
