station,timestamp,rh,wd,ws
"תל-אביב, חוף",01/01/2018 00:00,67,230,7.2
"תל-אביב, חוף",01/01/2018 00:10,65,233,7
"תל-אביב, חוף",01/01/2018 00:20,61,235,7.2
"תל-אביב, חוף",01/01/2018 00:30,60,235,6.6
"תל-אביב, חוף",01/01/2018 00:40,58,231,7.1
"תל-אביב, חוף",01/01/2018 00:50,56,234,7.7
"תל-אביב, חוף",01/01/2018 01:00,59,234,6.9
"תל-אביב, חוף",01/01/2018 01:10,57,228,7.2
"תל-אביב, חוף",01/01/2018 01:20,58,228,6.9
"תל-אביב, חוף",01/01/2018 01:30,57,229,7.3
"תל-אביב, חוף",01/01/2018 01:40,57,228,7.1
"תל-אביב, חוף",01/01/2018 01:50,57,230,7.5
"תל-אביב, חוף",01/01/2018 02:00,56,230,7.2
"תל-אביב, חוף",01/01/2018 02:10,56,228,7.3
"תל-אביב, חוף",01/01/2018 02:20,56,228,7
"תל-אביב, חוף",01/01/2018 02:30,56,225,7.1
"תל-אביב, חוף",01/01/2018 02:40,55,222,6.5
"תל-אביב, חוף",01/01/2018 02:50,55,225,6.6
"תל-אביב, חוף",01/01/2018 03:00,56,206,4.9
"תל-אביב, חוף",01/01/2018 03:10,59,159,3
"תל-אביב, חוף",01/01/2018 03:20,60,163,3.5
"תל-אביב, חוף",01/01/2018 03:30,60,159,3.7
"תל-אביב, חוף",01/01/2018 03:40,60,157,3.3
"תל-אביב, חוף",01/01/2018 03:50,60,155,3.7
"תל-אביב, חוף",01/01/2018 04:00,60,154,4.1
"תל-אביב, חוף",01/01/2018 04:10,67,234,9.1
"תל-אביב, חוף",01/01/2018 04:20,72,249,10.7
"תל-אביב, חוף",01/01/2018 04:30,69,245,9.3
"תל-אביב, חוף",01/01/2018 04:40,69,241,10.1
"תל-אביב, חוף",01/01/2018 04:50,73,247,12.5
"תל-אביב, חוף",01/01/2018 05:00,73,253,11.4
"תל-אביב, חוף",01/01/2018 05:10,76,261,10.4
"תל-אביב, חוף",01/01/2018 05:20,76,252,9.6
"תל-אביב, חוף",01/01/2018 05:30,73,226,5.3
"תל-אביב, חוף",01/01/2018 05:40,72,188,2.4
"תל-אביב, חוף",01/01/2018 05:50,73,200,4.7
"תל-אביב, חוף",01/01/2018 06:00,77,239,7.8
"תל-אביב, חוף",01/01/2018 06:10,78,219,4.7
"תל-אביב, חוף",01/01/2018 06:20,78,159,3.1
"תל-אביב, חוף",01/01/2018 06:30,73,212,5
"תל-אביב, חוף",01/01/2018 06:40,66,213,5.2
"תל-אביב, חוף",01/01/2018 06:50,65,191,3.6
"תל-אביב, חוף",01/01/2018 07:00,71,166,3.3
"תל-אביב, חוף",01/01/2018 07:10,72,161,3.3
"תל-אביב, חוף",01/01/2018 07:20,71,162,4
"תל-אביב, חוף",01/01/2018 07:30,69,160,4
"תל-אביב, חוף",01/01/2018 07:40,68,160,3.9
"תל-אביב, חוף",01/01/2018 07:50,67,159,4
"תל-אביב, חוף",01/01/2018 08:00,67,163,4.1
"תל-אביב, חוף",01/01/2018 08:10,67,162,3.6
"תל-אביב, חוף",01/01/2018 08:20,67,156,4.5
"תל-אביב, חוף",01/01/2018 08:30,68,164,4.6
"תל-אביב, חוף",01/01/2018 08:40,69,161,3.6
"תל-אביב, חוף",01/01/2018 08:50,69,159,4.5
"תל-אביב, חוף",01/01/2018 09:00,68,159,4.7
"תל-אביב, חוף",01/01/2018 09:10,67,166,4.2
"תל-אביב, חוף",01/01/2018 09:20,70,172,5.6
"תל-אביב, חוף",01/01/2018 09:30,80,165,5.1
"תל-אביב, חוף",01/01/2018 09:40,82,151,4.2
"תל-אביב, חוף",01/01/2018 09:50,79,156,4.4
"תל-אביב, חוף",01/01/2018 10:00,76,162,4.6
"תל-אביב, חוף",01/01/2018 10:10,75,171,5.3
"תל-אביב, חוף",01/01/2018 10:20,75,183,5.6
"תל-אביב, חוף",01/01/2018 10:30,79,179,5
"תל-אביב, חוף",01/01/2018 10:40,82,179,5.2
"תל-אביב, חוף",01/01/2018 10:50,87,171,4.4
"תל-אביב, חוף",01/01/2018 11:00,90,148,2.6
"תל-אביב, חוף",01/01/2018 11:10,90,182,4.1
"תל-אביב, חוף",01/01/2018 11:20,89,171,3.1
"תל-אביב, חוף",01/01/2018 11:30,90,158,3.3
"תל-אביב, חוף",01/01/2018 11:40,90,156,3.3
"תל-אביב, חוף",01/01/2018 11:50,89,160,3.7
"תל-אביב, חוף",01/01/2018 12:00,90,165,4.4
"תל-אביב, חוף",01/01/2018 12:10,90,161,4.7
"תל-אביב, חוף",01/01/2018 12:20,90,160,4.9
"תל-אביב, חוף",01/01/2018 12:30,90,161,5.8
"תל-אביב, חוף",01/01/2018 12:40,91,162,5.6
"תל-אביב, חוף",01/01/2018 12:50,92,151,4.5
"תל-אביב, חוף",01/01/2018 13:00,93,161,3.9
"תל-אביב, חוף",01/01/2018 13:10,94,147,3.8
"תל-אביב, חוף",01/01/2018 13:20,95,146,4.1
"תל-אביב, חוף",01/01/2018 13:30,95,127,4.4
"תל-אביב, חוף",01/01/2018 13:40,95,121,5
"תל-אביב, חוף",01/01/2018 13:50,95,109,4.9
"תל-אביב, חוף",01/01/2018 14:00,96,92,4.9
"תל-אביב, חוף",01/01/2018 14:10,96,104,5.1
"תל-אביב, חוף",01/01/2018 14:20,96,105,3.8
"תל-אביב, חוף",01/01/2018 14:30,96,115,4.5
"תל-אביב, חוף",01/01/2018 14:40,96,110,4.1
"תל-אביב, חוף",01/01/2018 14:50,96,118,3.9
"תל-אביב, חוף",01/01/2018 15:00,95,113,3.4
"תל-אביב, חוף",01/01/2018 15:10,95,106,3.2
"תל-אביב, חוף",01/01/2018 15:20,95,96,3.5
"תל-אביב, חוף",01/01/2018 15:30,94,105,3.3
"תל-אביב, חוף",01/01/2018 15:40,94,117,3.4
"תל-אביב, חוף",01/01/2018 15:50,93,128,2.5
"תל-אביב, חוף",01/01/2018 16:00,93,130,3.1
"תל-אביב, חוף",01/01/2018 16:10,93,124,3.2
"תל-אביב, חוף",01/01/2018 16:20,93,121,3
"תל-אביב, חוף",01/01/2018 16:30,93,117,2.4
"תל-אביב, חוף",01/01/2018 16:40,92,121,2.9
"תל-אביב, חוף",01/01/2018 16:50,92,123,3.1
"תל-אביב, חוף",01/01/2018 17:00,91,123,3.1
"תל-אביב, חוף",01/01/2018 17:10,91,123,2.7
"תל-אביב, חוף",01/01/2018 17:20,91,119,2.8
"תל-אביב, חוף",01/01/2018 17:30,91,113,2.8
"תל-אביב, חוף",01/01/2018 17:40,91,118,2.7
"תל-אביב, חוף",01/01/2018 17:50,92,120,2.5
"תל-אביב, חוף",01/01/2018 18:00,92,121,2.7
"תל-אביב, חוף",01/01/2018 18:10,92,120,1.9
"תל-אביב, חוף",01/01/2018 18:20,92,116,2.4
"תל-אביב, חוף",01/01/2018 18:30,92,109,2.6
"תל-אביב, חוף",01/01/2018 18:40,92,100,2.4
"תל-אביב, חוף",01/01/2018 18:50,92,130,2
"תל-אביב, חוף",01/01/2018 19:00,92,99,1.4
"תל-אביב, חוף",01/01/2018 19:10,90,305,5
"תל-אביב, חוף",01/01/2018 19:20,82,307,6.5
"תל-אביב, חוף",01/01/2018 19:30,72,305,6
"תל-אביב, חוף",01/01/2018 19:40,71,317,5.6
"תל-אביב, חוף",01/01/2018 19:50,71,313,5
"תל-אביב, חוף",01/01/2018 20:00,69,308,6.5
"תל-אביב, חוף",01/01/2018 20:10,69,315,6.3
"תל-אביב, חוף",01/01/2018 20:20,69,313,7.1
"תל-אביב, חוף",01/01/2018 20:30,67,307,6.3
"תל-אביב, חוף",01/01/2018 20:40,67,310,5.3
"תל-אביב, חוף",01/01/2018 20:50,67,303,5.7
"תל-אביב, חוף",01/01/2018 21:00,67,312,5.6
"תל-אביב, חוף",01/01/2018 21:10,68,312,5
"תל-אביב, חוף",01/01/2018 21:20,68,302,5.3
"תל-אביב, חוף",01/01/2018 21:30,67,311,5.1
"תל-אביב, חוף",01/01/2018 21:40,67,295,4.9
"תל-אביב, חוף",01/01/2018 21:50,67,303,5.5
"תל-אביב, חוף",01/01/2018 22:00,68,304,4.8
"תל-אביב, חוף",01/01/2018 22:10,66,302,6.3
"תל-אביב, חוף",01/01/2018 22:20,64,297,6.5
"תל-אביב, חוף",01/01/2018 22:30,63,300,6.8
"תל-אביב, חוף",01/01/2018 22:40,63,299,6.5
"תל-אביב, חוף",01/01/2018 22:50,63,295,6.7
"תל-אביב, חוף",01/01/2018 23:00,63,290,6.5
"תל-אביב, חוף",01/01/2018 23:10,63,286,6.1
"תל-אביב, חוף",01/01/2018 23:20,71,268,9
"תל-אביב, חוף",01/01/2018 23:30,76,262,7.7
"תל-אביב, חוף",01/01/2018 23:40,77,297,7.4
"תל-אביב, חוף",01/01/2018 23:50,80,317,7.8
"תל-אביב, חוף",02/01/2018 00:00,81,302,7.8
"תל-אביב, חוף",02/01/2018 00:10,75,293,9.3
"תל-אביב, חוף",02/01/2018 00:20,74,304,9.4
"תל-אביב, חוף",02/01/2018 00:30,74,280,9.8
"תל-אביב, חוף",02/01/2018 00:40,72,274,10.7
"תל-אביב, חוף",02/01/2018 00:50,69,276,10.6
"תל-אביב, חוף",02/01/2018 01:00,69,270,10.8
